id;fan_level;priority;message_header;message;jhi_timestamp
1;Tasty Dalasi;Salad;invoice circuit Concrete;Home;2021-11-21T15:14:26
2;purple Gloves;Bacon;Orchestrator Accounts;Fresh;2021-11-21T01:47:16
3;Account Hampshire Plastic;calculate ADP Market;Pizza;Pennsylvania;2021-11-20T21:39:12
4;Savings;Account;violet International;bypass;2021-11-20T20:24:26
5;robust Books;bandwidth Cotton;Brand Fresh Bacon;synergies;2021-11-21T09:37:15
6;deposit sensor Concrete;payment;Zloty;vortals high-level Analyst;2021-11-21T03:51:52
7;implement Guinea Graphical;services programming Cambridgeshire;bleeding-edge calculate deposit;Groves RSS Solutions;2021-11-20T21:14:25
8;Metal users TCP;portals Assurance Directives;Parkway Rupee;Bedfordshire index Avon;2021-11-21T02:28:06
9;Polynesia generate;e-markets Phased;Exclusive Tools Missouri;Fresh real-time;2021-11-21T11:50:50
10;Home Chicken Pizza;Argentine Rubber Data;Table Soft;Fresh;2021-11-21T12:13:35
